Date, Close/Last, Volume, Open, High, Low
07/08/20,$381.37,29272970,376.72,381.50,376.36
07/07/20,$372.69,28106110,375.41,378.62,372.23
07/06/20,$373.85,29663910,370.00,375.78,369.87
07/02/20,$364.11,28510370,367.85,370.47,363.64
07/01/20,$364.11,27684310,365.12,367.36,363.91
06/30/2020,$364.80,35055820,360.08,365.98,360.00
06/29/2020,$361.78,32661520,353.25,362.17,351.28
06/26/2020,$353.63,51314210,364.41,365.32,353.02
06/25/2020,$364.84,34380630,360.70,365.00,357.57
06/24/2020,$360.06,48155850,365.00,368.79,358.52
06/23/2020,$366.53,53038870,364.00,372.38,362.27
06/22/2020,$358.87,33861320,351.34,359.46,351.15
06/19/2020,$349.72,66118950,354.64,356.56,345.15
06/18/2020,$351.73,24205100,351.41,353.45,349.22
06/17/2020,$351.59,28601630,355.15,355.40,351.09
06/16/2020,$352.08,41357180,351.46,353.20,344.72
06/15/2020,$342.99,34702230,333.25,345.68,332.58
06/12/20,$338.80,50036510,344.72,347.80,334.22
06/11/20,$335.90,50415610,349.31,351.06,335.48
06/10/20,$352.84,41662940,347.90,354.77,346.09
06/09/20,$343.99,36928090,332.14,345.61,332.01
06/08/20,$333.46,23913630,330.25,333.60,327.32
06/05/20,$331.50,34312550,323.35,331.75,323.23
06/04/20,$322.32,21890090,324.39,325.62,320.78
06/03/20,$325.12,26122800,324.66,326.20,322.30
06/02/20,$323.34,21910700,320.75,323.44,318.93
06/01/20,$321.85,20254650,317.75,322.35,317.21
05/29/2020,$317.94,38399530,319.25,321.15,316.47
05/28/2020,$318.25,33449100,316.77,323.44,315.63
05/27/2020,$318.11,28236270,316.14,318.71,313.09
05/26/2020,$316.73,31380450,323.50,324.24,316.50
05/22/2020,$318.89,20450750,315.77,319.23,315.35
05/21/2020,$316.85,25672210,318.66,320.89,315.87
05/20/2020,$319.23,27876220,316.68,319.52,316.20
05/19/2020,$313.14,25432390,315.03,318.52,313.01
05/18/2020,$314.96,33843130,313.17,316.50,310.32
05/15/2020,$307.71,41587090,300.35,307.90,300.21
05/14/2020,$309.54,39732270,304.51,309.79,301.53
05/13/2020,$307.65,50155640,312.15,315.95,303.21
05/12/20,$311.41,40575260,317.83,319.69,310.91
05/11/20,$315.01,36486560,308.10,317.05,307.24
05/08/20,$310.13,33511990,305.64,310.35,304.29
05/07/20,$303.74,28803760,303.22,305.17,301.97
05/06/20,$300.63,35583440,300.46,303.24,298.87
05/05/20,$297.56,36937800,295.06,301.00,294.46
05/04/20,$293.16,33391990,289.17,293.69,286.32
05/01/20,$289.07,60154180,286.25,299.00,285.85
04/30/2020,$293.80,45765970,289.96,294.53,288.35
04/29/2020,$287.73,34320200,284.73,289.67,283.89
04/28/2020,$278.58,28001190,285.08,285.83,278.20
04/27/2020,$283.17,29271890,281.80,284.54,279.95
04/24/2020,$282.97,31627180,277.20,283.01,277.00
04/23/2020,$275.03,31203580,275.87,281.75,274.87
04/22/2020,$276.10,29264340,273.61,277.90,272.20
04/21/2020,$268.37,45247890,276.28,277.25,265.43
04/20/2020,$276.93,32503750,277.95,281.68,276.85
04/17/2020,$282.80,53812480,284.69,286.95,276.86
04/16/2020,$286.69,39281290,287.38,288.20,282.35
04/15/2020,$284.43,32788640,282.40,286.33,280.63
04/14/2020,$287.05,48748670,280.00,288.25,278.05
04/13/2020,$273.25,32755730,268.31,273.70,265.83
04/09/20,$267.99,40529120,268.70,270.07,264.70
04/08/20,$266.07,42223820,262.74,267.37,261.23
04/07/20,$259.43,50721830,270.80,271.70,259.00
04/06/20,$262.47,50455070,250.90,263.11,249.38
04/03/20,$241.41,32470020,242.80,245.70,238.97
04/02/20,$244.93,41483490,240.34,245.15,236.90
04/01/20,$240.91,44054640,246.50,248.72,239.13
03/31/2020,$254.29,49250500,255.60,262.49,252.00
03/30/2020,$254.81,41994110,250.74,255.52,249.40
03/27/2020,$247.74,51054150,252.75,255.87,247.05
03/26/2020,$258.44,63140170,246.52,258.68,246.36
03/25/2020,$245.52,75900510,250.75,258.25,244.30
03/24/2020,$246.88,71882770,236.36,247.69,234.30
03/23/2020,$224.37,84188210,228.08,228.50,212.61
03/20/2020,$229.24,100423300,247.18,251.83,228.00
03/19/2020,$244.78,67964260,247.39,252.84,242.61
03/18/2020,$246.67,75058410,239.77,250.00,237.12
03/17/2020,$252.86,81013970,247.51,257.61,238.40
03/16/2020,$242.21,80605870,241.95,259.08,240.00
03/13/2020,$277.97,92683030,264.89,279.92,252.95
03/12/20,$248.23,104618500,255.94,270.00,248.00
03/11/20,$275.43,64094970,277.39,281.22,271.86
03/10/20,$285.34,71322520,277.14,286.44,269.37
03/09/20,$266.17,71686210,263.75,278.09,263.00
03/06/20,$289.03,56544250,282.00,290.82,281.23
03/05/20,$292.92,46893220,295.52,299.55,291.41
03/04/20,$302.74,54794570,296.44,303.40,293.13
03/03/20,$289.32,79868850,303.67,304.00,285.80
03/02/20,$298.81,85349340,282.28,301.44,277.72
02/28/2020,$273.36,106721200,257.26,278.41,256.37
02/27/2020,$273.52,80151380,281.10,286.00,272.96
02/26/2020,$292.65,49678430,286.53,297.88,286.50
02/25/2020,$288.08,57668360,300.95,302.53,286.13
02/24/2020,$298.18,55548830,297.26,304.18,289.23
02/21/2020,$313.05,32426420,318.62,320.45,310.50
02/20/2020,$320.30,25141490,322.63,324.65,318.21
02/19/2020,$323.62,23495990,320.00,324.57,320.00
02/18/2020,$319,38190550,315.36,319.75,314.61
02/14/2020,$324.95,20028450,324.74,325.98,322.85
02/13/2020,$324.87,23686890,324.19,326.22,323.35
02/12/20,$327.20,28432570,321.47,327.22,321.47
02/11/20,$319.61,23580780,323.60,323.90,318.71
02/10/20,$321.55,27337220,314.18,321.55,313.85
02/07/20,$320.03,29421010,322.37,323.40,318.00
02/06/20,$325.21,26356390,322.57,325.22,320.26
02/05/20,$321.45,29706720,323.52,324.76,318.95
02/04/20,$318.85,34154130,315.31,319.64,313.63
02/03/20,$308.66,43496400,304.30,313.49,302.22
01/31/2020,$309.51,49897100,320.93,322.68,308.29
01/30/2020,$323.87,31685810,320.54,324.09,318.75
01/29/2020,$324.34,54149930,324.45,327.85,321.38
01/28/2020,$317.69,40558490,312.60,318.40,312.19
01/27/2020,$308.95,40485010,310.06,311.77,304.88
01/24/2020,$318.31,36634380,320.25,323.33,317.52
01/23/2020,$319.23,26117990,317.92,319.56,315.65
01/22/2020,$317.70,25458120,318.58,319.99,317.31
01/21/2020,$316.57,27710810,317.19,319.02,316.00
01/17/2020,$318.73,34454120,316.27,318.74,315.00
01/16/2020,$315.24,27207250,313.59,315.70,312.09
01/15/2020,$311.34,30480880,311.85,315.50,309.55
01/14/2020,$312.68,40653460,316.70,317.57,312.17
01/13/2020,$316.96,30521720,311.64,317.07,311.15
01/10/20,$310.33,35217270,310.60,312.67,308.25
01/09/20,$309.63,42621540,307.24,310.43,306.20
01/08/20,$303.19,33090950,297.16,304.44,297.16
01/07/20,$298.39,27877660,299.84,300.90,297.48
01/06/20,$299.80,29644640,293.79,299.96,292.75
01/03/20,$297.43,36633880,297.15,300.58,296.50
01/02/20,$300.35,33911860,296.24,300.60,295.19
12/31/2019,$293.65,25247630,289.93,293.68,289.52
12/30/2019,$291.52,36059610,289.46,292.69,285.22
12/27/2019,$289.80,36592940,291.12,293.97,288.12
12/26/2019,$289.91,23334000,284.82,289.98,284.70
