,0,1,2,3,4,5,6,7,8,9,10,11,output
0,51314210.0,364.41,365.32,353.02,34380630.0,360.7,365.0,357.57,48155850.0,365.0,368.79,358.52,364.0
1,45595680.0,93.0,93.05,91.5,75219710.0,92.91,94.66,92.65,32042290.0,95.94,96.29,95.25,96.25
2,25184090.0,108.58,108.7,107.18,30912260.0,106.96,109.43,106.86,26639930.0,107.59,107.69,106.18,109.0
3,42009830.0,94.16,95.21,93.89,46858910.0,94.55,94.7,93.01,61192340.0,92.39,94.39,91.65,90.0
4,49904460.0,108.97,110.45,108.51,53142590.0,112.49,112.78,110.04,61681250.0,110.23,112.34,109.13,110.15
5,28010430.0,107.52,108.37,107.16,39546610.0,106.27,107.65,106.18,26781730.0,105.58,106.0,105.28,104.81
6,20769030.0,136.43,137.12,136.11,24487200.0,136.23,136.75,135.98,22163280.0,135.1,135.83,135.1,135.67
7,19090050.0,194.79,196.37,193.14,23243160.0,193.25,196.5,193.15,22727370.0,191.09,194.46,191.05,191.64
8,39636190.0,159.9,160.0,154.63,26060430.0,159.26,161.27,159.11,36127490.0,158.6,161.83,158.27,157.06
9,43607120.0,106.34,106.5,105.19,34394830.0,105.52,106.47,104.96,38236730.0,104.61,106.31,104.59,103.96
10,22551660.0,186.29,187.19,182.91,17352380.0,184.1,186.21,183.8,24987260.0,185.23,187.28,184.03,182.99
11,33754680.0,109.63,110.23,109.21,25704330.0,108.14,109.54,108.08,18648700.0,107.78,108.44,107.78,108.52
12,28397810.0,167.5,170.2,166.46,27315530.0,169.06,171.52,168.4,32512580.0,172.48,172.62,169.63,169.95
13,41678680.0,173.49,174.49,168.3,42704910.0,171.76,174.78,170.42,41141250.0,180.95,182.39,176.27,184.46
14,31440300.0,188.35,188.99,185.92,26148590.0,185.8,188.39,185.79,39017490.0,184.85,187.33,183.74,183.9
15,22395560.0,263.75,264.88,262.1,25817590.0,261.13,264.78,261.07,21847230.0,261.55,262.79,260.92,258.3
16,22163280.0,135.1,135.83,135.1,22539860.0,135.67,135.9,134.84,35578640.0,135.52,136.27,134.62,133.47
17,28751540.0,219.79,223.36,218.94,32874330.0,218.06,221.26,217.43,32389280.0,217.86,219.74,213.0,222.3
18,33655810.0,105.01,106.48,104.62,31416910.0,106.93,106.93,105.52,30576980.0,106.64,108.09,106.06,107.88
19,20046250.0,132.46,132.94,132.05,28321440.0,131.65,132.45,131.12,22941650.0,131.35,132.22,131.22,130.54
20,64827330.0,209.88,215.31,209.23,45751160.0,203.06,203.4,199.11,22010360.0,204.4,205.97,203.86,204.9
21,25364920.0,111.62,112.39,111.33,32771760.0,110.8,112.34,110.8,27150570.0,109.34,110.5,108.66,108.97
22,38612290.0,183.52,184.35,180.28,32879090.0,186.93,190.9,186.76,33031360.0,189.91,192.47,188.84,186.27
23,28641180.0,93.48,93.57,92.46,33653020.0,93.33,93.57,92.11,32895650.0,93.0,93.77,92.59,93.37
24,20514810.0,156.07,157.4,155.69,26604140.0,157.05,157.21,155.02,69726440.0,159.28,159.75,156.16,149.1
25,31306390.0,178.61,179.58,177.41,31087330.0,179.37,180.1,178.25,34260230.0,176.15,179.25,175.07,177.9
26,39824200.0,173.68,175.15,166.92,36778560.0,168.07,173.1,166.44,40984540.0,168.39,169.92,164.94,170.0
27,36592940.0,291.12,293.97,288.12,23334000.0,284.82,289.98,284.7,12119710.0,284.69,284.89,282.92,280.53
28,27420550.0,111.36,111.51,110.33,25931710.0,111.95,112.42,111.4,29164190.0,110.12,111.99,110.01,109.72
29,52720620.0,110.0,112.28,109.49,61747260.0,110.19,110.19,108.21,46717770.0,111.74,111.77,109.41,110.63
30,34790520.0,247.24,249.17,237.26,31130520.0,244.76,245.3,241.21,35709870.0,248.97,249.75,242.57,247.42
31,41976500.0,162.13,167.26,161.84,35617230.0,164.0,164.33,160.63,27850370.0,164.12,165.73,163.37,162.62
32,49979700.0,93.79,94.72,92.59,42288790.0,95.92,96.35,94.1,44282560.0,94.29,95.94,93.93,93.13
33,48670440.0,149.03,153.7,149.03,27254850.0,146.76,148.98,146.76,23345970.0,146.52,147.14,145.81,145.59
34,84757780.0,113.76,114.02,109.77,54507300.0,111.65,112.56,110.32,49904460.0,108.97,110.45,108.51,112.49
35,54149930.0,324.45,327.85,321.38,40558490.0,312.6,318.4,312.19,40485010.0,310.06,311.77,304.88,320.25
36,31434370.0,221.03,222.49,217.19,19419650.0,218.95,219.84,217.65,57977090.0,221.38,222.56,217.47,222.01
37,123601900.0,117.42,117.7,113.25,69639900.0,121.5,122.57,117.52,42832890.0,122.6,122.64,120.91,122.32
38,36127490.0,158.6,161.83,158.27,21827400.0,157.06,158.92,156.67,20514810.0,156.07,157.4,155.69,157.05
39,40885480.0,107.01,107.03,104.82,25184090.0,108.58,108.7,107.18,30912260.0,106.96,109.43,106.86,107.59
40,21029520.0,262.71,266.44,262.52,16331260.0,262.59,263.18,260.84,30348780.0,263.69,264.01,261.18,265.54
41,14669140.0,192.9,194.96,192.17,18761470.0,191.55,193.59,190.3,21674630.0,194.7,196.79,193.6,193.95
42,32443110.0,204.29,208.84,203.5,20892380.0,210.89,211.84,210.23,31996320.0,209.84,212.65,208.13,209.88
43,34240470.0,96.31,96.9,95.92,35290570.0,96.0,96.76,95.8,38866100.0,98.84,98.89,96.09,96.67
44,20591090.0,175.05,175.08,173.34,14026670.0,175.1,175.5,174.65,25558680.0,173.36,175.0,173.05,170.78
45,23171020.0,227.95,229.42,226.35,22560440.0,224.79,225.84,224.02,29729270.0,223.82,226.44,223.54,221.0
46,38794930.0,111.78,112.0,110.53,37622200.0,110.93,112.1,110.49,44434220.0,111.29,111.52,109.56,110.82
47,19088310.0,220.0,220.94,218.83,22481010.0,218.55,221.5,217.14,31434370.0,221.03,222.49,217.19,218.95
48,41084070.0,225.46,226.35,216.05,26656630.0,223.64,227.27,222.25,28784550.0,222.21,224.8,220.2,227.96
49,28432570.0,321.47,327.22,321.47,23580780.0,323.6,323.9,318.71,27337220.0,314.18,321.55,313.85,322.37
50,41587090.0,300.35,307.9,300.21,39732270.0,304.51,309.79,301.53,50155640.0,312.15,315.95,303.21,317.83
51,28310840.0,109.72,110.54,109.66,27623150.0,109.81,110.35,108.83,58724080.0,106.7,110.23,106.6,106.57
52,38018910.0,104.41,106.15,104.41,27697970.0,104.19,104.55,103.68,38771840.0,102.83,104.45,102.82,104.27
53,32618140.0,107.27,108.85,107.2,32728460.0,107.4,107.72,106.45,47507230.0,107.28,107.37,105.57,108.91
54,30889270.0,226.27,229.93,225.84,34755550.0,225.64,227.49,223.89,30352690.0,218.43,220.96,215.13,223.06
55,21017560.0,155.02,155.98,154.48,26591850.0,153.9,155.81,153.78,25277680.0,154.34,154.45,153.46,153.58
56,33498270.0,145.1,147.2,144.96,20783460.0,144.09,144.3,143.27,14198660.0,143.92,144.16,143.31,144.47
57,23580780.0,323.6,323.9,318.71,27337220.0,314.18,321.55,313.85,29421010.0,322.37,323.4,318.0,322.57
58,17524150.0,198.58,199.85,198.01,27738580.0,199.2,200.14,196.21,20543190.0,200.85,201.0,198.44,198.68
59,80151380.0,281.1,286.0,272.96,49678430.0,286.53,297.88,286.5,57668360.0,300.95,302.53,286.13,297.26
60,32182650.0,270.0,270.8,264.91,26547490.0,267.48,271.0,267.3,18661340.0,263.79,265.89,262.73,261.07
61,46873670.0,112.11,112.3,109.73,25364920.0,111.62,112.39,111.33,32771760.0,110.8,112.34,110.8,109.34
62,90398170.0,113.86,115.73,113.49,111186900.0,108.73,113.03,108.6,62080160.0,107.51,108.79,107.24,102.65
63,48155850.0,365.0,368.79,358.52,53038870.0,364.0,372.38,362.27,33861320.0,351.34,359.46,351.15,354.64
64,30149410.0,218.1,219.18,215.11,35034410.0,213.44,217.95,213.16,27595310.0,211.75,213.81,211.47,209.22
65,20393070.0,189.01,189.53,187.86,26167950.0,189.49,190.06,187.45,27942430.0,187.74,190.37,187.65,186.55
66,101593400.0,112.53,115.42,109.63,96820670.0,117.81,118.18,113.33,54851010.0,116.53,119.99,116.53,114.58
67,28106110.0,375.41,378.62,372.23,29663910.0,370.0,375.78,369.87,28510370.0,367.85,370.47,363.64,365.12
68,40170200.0,97.6,97.84,96.63,29139100.0,99.02,99.54,98.33,42268040.0,99.6,100.4,98.82,99.44
